time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1705061554688640800,12.623640869140624,-3.9051401615142822,0.579897403717041,8.430350303649902,0.4618356227874756,0.7368989586830139,-0.49364742636680603,2.426576852798462,-0.5414034128189087,0.30501818656921387,0.8603047111961434,-0.4497440917210716,0.22562476339973703,0.08185045579796761
1705061554698589700,12.633589599609374,-3.719244956970215,-0.1568242460489273,8.098077774047852,0.5227414965629578,0.714507520198822,-0.46499499678611755,2.5716798305511475,-0.3384242057800293,0.3830552101135254,0.8472606540285192,-0.4564101181216708,0.24329470288028393,0.12102433053814754
1705061554708508000,12.6435078125,-3.6536600589752197,-0.6922109723091125,7.433613300323486,0.5749385356903076,0.6885741353034973,-0.44194018840789795,2.670926332473755,-0.12889713048934937,0.4174039959907532,0.8340724420381109,-0.4617098271117692,0.2566202177485217,0.15903802698398917
1705061554718457000,12.65345703125,-3.9608280658721924,-1.2168771028518677,7.0695319175720215,0.6193132996559143,0.6620235443115234,-0.4221086800098419,2.7510786056518555,0.2274874448776245,0.32577985525131226,0.820194643312714,-0.4670849796078248,0.26604001316083364,0.19579317114367054
1705061554728375000,12.663375,-4.128402233123779,-1.5333043336868286,7.141570091247559,0.6592669486999512,0.6335813403129578,-0.40489712357521057,2.7213940620422363,0.45047926902770996,0.21057644486427307,0.8050354044918572,-0.4724717726350614,0.27262035461732514,0.23316617433009498
1705061554738324000,12.673323974609374,-4.245390892028809,-1.633267879486084,7.032532215118408,0.6967419385910034,0.6021685600280762,-0.3897992670536041,2.5269365310668945,0.3918651342391968,0.19932377338409424,0.7884008189245859,-0.47734696576309965,0.2779212819537716,0.2707833552654828
1705061554748242000,12.683241943359375,-4.101494789123535,-2.036558151245117,6.842614650726318,0.7300684452056885,0.5691086649894714,-0.37830594182014465,2.3999059200286865,0.5736982822418213,0.2362465262413025,0.7710009866944579,-0.4813607385957883,0.28131631569507365,0.3077506056521939
1705061554758190800,12.69319091796875,-3.752255439758301,-2.1963441371917725,6.702588081359863,0.7593594789505005,0.5333693027496338,-0.37267979979515076,2.438974142074585,0.6681991815567017,0.288451224565506,0.7535780758665507,-0.4832094825556525,0.2831407636625769,0.3441800782448871
1705061554768108800,12.70310888671875,-3.510021448135376,-2.2271676063537598,6.283276081085205,0.7843844294548035,0.4971140921115875,-0.3709697425365448,2.4472286701202393,0.6560993194580078,0.38114726543426514,0.7363414178667527,-0.4835701233268727,0.28403355872322406,0.3785315411500701
1705061554778026800,12.71302685546875,-3.302236557006836,-2.30527925491333,6.074044227600098,0.805400550365448,0.4608820676803589,-0.3727164566516876,2.3060801029205322,0.7632085084915161,0.40872716903686523,0.7193101623825955,-0.4826679823685966,0.2840306112823458,0.41103653359138576
